vote_2016,vote_2020,sex,race,household_income,education,state,age,vote_trump,vote_biden,not_sure,someone_else
Donald Trump,Donald Trump,male,white,"$50,000 to $54,999","Completed some college, but no degree",TX,60,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999","Completed some college, but no degree",TX,43,0,1,0,0
Donald Trump,Donald Trump,male,other asian or pacific islander,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",CA,62,1,0,0,0
Donald Trump,Donald Trump,male,white,"$45,000 to $49,999","Completed some college, but no degree",GA,60,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"Less than $14,999",High school graduate,WV,69,0,1,0,0
Hillary Clinton,I am not sure/don't know,male,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",NY,35,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",MI,35,0,1,0,0
Someone else:,I am not sure/don't know,male,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",VA,45,0,0,1,0
Was not eligible to vote,Joe Biden,male,white,"Less than $14,999",Associate Degree,FL,63,0,1,0,0
Donald Trump,Donald Trump,male,white,"$50,000 to $54,999",Associate Degree,NY,62,1,0,0,0
Donald Trump,Donald Trump,male,white,"$70,000 to $74,999","Completed some college, but no degree",FL,63,1,0,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999",Masters degree,DC,42,1,0,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","Less than $14,999","Completed some college, but no degree",HI,23,0,1,0,0
Donald Trump,Donald Trump,male,white,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",CA,41,1,0,0,0
Donald Trump,Donald Trump,male,white,"$50,000 to $54,999",High school graduate,GA,39,1,0,0,0
Donald Trump,Joe Biden,male,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,69,0,1,0,0
Jill Stein,Joe Biden,male,white,"$45,000 to $49,999","Completed some college, but no degree",KY,52,0,1,0,0
Donald Trump,I am not sure/don't know,male,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",OH,39,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",WA,62,0,1,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","$35,000 to $39,999","College Degree (such as B.A., B.S.)",GA,32,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,"$35,000 to $39,999","Completed some college, but no degree",VA,72,0,1,0,0
Donald Trump,Donald Trump,male,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NY,41,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",FL,59,0,1,0,0
Don't recall,Joe Biden,male,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",IL,68,0,1,0,0
Donald Trump,Donald Trump,male,white,"$50,000 to $54,999",Completed some high school,KY,35,1,0,0,0
Donald Trump,Donald Trump,male,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NC,58,1,0,0,0
"Did not vote, but was eligible",I am not sure/don't know,male,black/african american/negro,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",TX,40,0,0,1,0
Donald Trump,Donald Trump,male,"other race, nec","$100,000 to $124,999","Completed some college, but no degree",TX,49,1,0,0,0
Was not eligible to vote,I am not sure/don't know,male,black/african american/negro,"Less than $14,999",High school graduate,WA,35,0,0,1,0
Donald Trump,Donald Trump,male,white,"$200,000 to $249,999",Doctorate degree,CA,41,1,0,0,0
Donald Trump,Donald Trump,male,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",NY,57,1,0,0,0
Donald Trump,Donald Trump,female,"other race, nec","Less than $14,999",High school graduate,FL,18,1,0,0,0
Was not eligible to vote,Joe Biden,female,other asian or pacific islander,"$100,000 to $124,999",Associate Degree,WA,38,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$40,000 to $44,999",Completed some high school,AZ,71,0,1,0,0
Donald Trump,Donald Trump,male,white,"$25,000 to $29,999",High school graduate,OH,65,1,0,0,0
Was not eligible to vote,Joe Biden,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",ME,46,0,1,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",CA,30,1,0,0,0
Don't recall,I am not sure/don't know,male,other asian or pacific islander,"$175,000 to $199,999",High school graduate,UT,36,0,0,1,0
Hillary Clinton,Joe Biden,female,chinese,NA,"College Degree (such as B.A., B.S.)",NY,31,0,1,0,0
Hillary Clinton,Someone else,male,white,"$40,000 to $44,999",High school graduate,OH,48,0,0,0,1
Hillary Clinton,Joe Biden,male,"other race, nec","$75,000 to $79,999","Completed some college, but no degree",CA,61,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",IN,41,0,1,0,0
Donald Trump,Donald Trump,female,white,"$250,000 and above","College Degree (such as B.A., B.S.)",NY,56,1,0,0,0
Was not eligible to vote,I am not sure/don't know,female,white,"$60,000 to $64,999",Completed some high school,OR,40,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"Less than $14,999","College Degree (such as B.A., B.S.)",PA,40,0,1,0,0
Hillary Clinton,I am not sure/don't know,female,white,"$100,000 to $124,999","Completed some college, but no degree",NV,31,0,0,1,0
Hillary Clinton,Joe Biden,female,chinese,"$70,000 to $74,999",Associate Degree,WA,45,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",MS,42,0,1,0,0
Donald Trump,Donald Trump,male,white,"$90,000 to $94,999","Completed some college, but no degree",UT,58,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,45,0,1,0,0
Donald Trump,Donald Trump,male,white,"$90,000 to $94,999",Associate Degree,NY,80,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$70,000 to $74,999",High school graduate,NY,54,0,1,0,0
Donald Trump,Donald Trump,male,white,"Less than $14,999",High school graduate,FL,60,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"Less than $14,999",Masters degree,TX,28,0,1,0,0
Hillary Clinton,Donald Trump,male,white,"Less than $14,999","Completed some college, but no degree",TX,64,1,0,0,0
Hillary Clinton,I am not sure/don't know,male,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",GA,55,0,0,1,0
Donald Trump,Joe Biden,male,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",PA,37,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"Less than $14,999",High school graduate,MA,47,0,1,0,0
Donald Trump,Donald Trump,male,white,"$20,000 to $24,999","Completed some college, but no degree",IL,80,1,0,0,0
Donald Trump,Donald Trump,male,white,"$125,000 to $149,999","Completed some college, but no degree",NY,64,1,0,0,0
"Did not vote, but was eligible",Donald Trump,male,white,"Less than $14,999","Completed some college, but no degree",TN,61,1,0,0,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999",Other post high school vocational training,PA,61,1,0,0,0
"Did not vote, but was eligible",Someone else,male,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",MD,46,0,0,0,1
Was not eligible to vote,I am not sure/don't know,male,"other race, nec",NA,High school graduate,NY,18,0,0,1,0
Hillary Clinton,Joe Biden,male,white,"$45,000 to $49,999",Masters degree,CA,36,0,1,0,0
Donald Trump,Donald Trump,male,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",FL,56,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"Less than $14,999",High school graduate,KY,49,0,1,0,0
"Did not vote, but was eligible",Donald Trump,male,white,"$45,000 to $49,999",High school graduate,FL,64,1,0,0,0
Donald Trump,Donald Trump,male,white,NA,"College Degree (such as B.A., B.S.)",OH,40,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$25,000 to $29,999","Completed some graduate, but no degree",WV,69,0,1,0,0
Donald Trump,Donald Trump,male,white,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",CT,44,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$15,000 to $19,999",Associate Degree,IL,21,0,1,0,0
Donald Trump,Donald Trump,male,white,"$35,000 to $39,999",High school graduate,KY,47,1,0,0,0
Donald Trump,Donald Trump,female,"other race, nec","Less than $14,999","Completed some college, but no degree",TX,24,1,0,0,0
Donald Trump,Donald Trump,male,white,"$15,000 to $19,999",Associate Degree,VA,67,1,0,0,0
Donald Trump,Donald Trump,male,white,"$25,000 to $29,999",Associate Degree,KY,73,1,0,0,0
Hillary Clinton,Joe Biden,male,american indian or alaska native,"$25,000 to $29,999",High school graduate,CA,19,0,1,0,0
Was not eligible to vote,I am not sure/don't know,male,white,"Less than $14,999",High school graduate,KS,18,0,0,1,0
Donald Trump,Donald Trump,male,white,"$95,000 to $99,999","Completed some college, but no degree",WA,35,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,white,"$250,000 and above","Completed some graduate, but no degree",CA,31,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",KY,60,0,1,0,0
Donald Trump,Donald Trump,male,white,"$15,000 to $19,999",Other post high school vocational training,PA,48,1,0,0,0
Donald Trump,Donald Trump,male,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",PA,60,1,0,0,0
Was not eligible to vote,I am not sure/don't know,male,white,"Less than $14,999",Completed some high school,UT,20,0,0,1,0
Donald Trump,Donald Trump,male,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",FL,71,1,0,0,0
Donald Trump,Donald Trump,male,white,"Less than $14,999","Completed some college, but no degree",MA,19,1,0,0,0
